category_slug,old_aspect,new_aspect,tag_line,definition,mixed_title,Synonyms
instant-cameras,Image Quality,Image Quality,Praised the excellent image quality,"The clarity and vibrancy of the printed photos. For example, high-resolution images with accurate colors.","{X} praised the excellent image quality, while {Y} found it grainy.","Picture Clarity, Photo Resolution"
instant-cameras,Shutter Speed,Shutter Speed,Appreciated the fast shutter speed,"The speed at which the camera takes a photo after pressing the shutter button. For example, instant capture with minimal delay.","{X} appreciated the fast shutter speed, but {Y} experienced lag.","Capture Speed, Camera Response"
instant-cameras,Film Quality,Film Quality,Liked the quality of the film,"The quality of the film used in the camera, including its sensitivity, contrast, and durability. For example, high-quality film with vibrant colors.","{X} liked the quality of the film, though {Y} found it inconsistent.","Film Sensitivity, Photo Paper Quality"
instant-cameras,Design and Build,Design and Build,Praised the compact and stylish design,"The physical appearance and construction of the camera, including its size, weight, and materials. For example, sleek design with durable plastic.","{X} praised the compact and stylish design, but {Y} found it fragile.","Camera Body, Construction Quality"
instant-cameras,Flash Quality,Flash Quality,Appreciated the effective flash,"The performance of the camera's built-in flash, including its power, range, and color accuracy. For example, bright flash with minimal red-eye.","{X} appreciated the effective flash, while {Y} found it too weak.","Lighting Quality, Flash Power"
instant-cameras,Battery Life,Battery Life,Liked the long-lasting battery,"The duration of the camera's battery life, including the number of shots it can take before needing recharging. For example, multiple days of use on a single charge.","{X} liked the long-lasting battery, but {Y} found it drained quickly.","Power Duration, Charging Frequency"
instant-cameras,Viewfinder Quality,Viewfinder Quality,Praised the clear viewfinder,"The quality of the camera's viewfinder, including its clarity, brightness, and accuracy. For example, clear viewfinder with minimal distortion.","{X} praised the clear viewfinder, while {Y} found it murky.","Viewfinder Clarity, Viewing Experience"
instant-cameras,Additional Features,Additional Features,Appreciated the additional features,"Extra features beyond basic camera functionality, such as filters, timers, or manual settings. For example, built-in filters for creative effects.","{X} appreciated the additional features, though {Y} found them confusing.","Creative Options, Advanced Settings"
instant-cameras,Portability,Portability,Liked the compact and portable design,"How easy it is to carry and store the camera, including its size and weight. For example, fits easily in a purse or pocket.","{X} liked the compact and portable design, but {Y} found it too bulky.","Camera Size, Travel Convenience"
jar-candles,Burn Time,Burn Time,Praised for its long-lasting burn time,"How long the candle stays lit before it needs to be replaced. For example, hours or days of continuous burning.","{X} praised for its long-lasting burn time, but {Y} found it burned out quickly.","Burning Hours, Duration"
jar-candles,Scent Strength,Scent Strength,"Liked the strong, consistent scent","The intensity and consistency of the fragrance emitted by the candle. For example, strong, subtle, or overpowering.","{X} liked the strong, consistent scent, while {Y} found it too weak.","Fragrance Intensity, Aroma Strength"
jar-candles,Wax Quality,Wax Quality,"Appreciated the high-quality, smooth wax","The texture and composition of the wax used in the candle. For example, soy, beeswax, or paraffin.","{X} appreciated the high-quality, smooth wax, but {Y} found it to be of poor quality.","Wax Composition, Texture"
jar-candles,Jar Design,Jar Design,"Liked the stylish, decorative jar design","The aesthetic appeal and design of the candle's jar. For example, shape, size, color, and style.","{X} liked the stylish, decorative jar design, but {Y} found it to be unattractive.","Container Design, Visual Appeal"
jar-candles,Ease of Cleaning,Ease of Cleaning,Found it easy to clean the jar,"The ease of removing wax residue and cleaning the jar for reuse. For example, easy, moderate, or difficult cleaning.","{X} found it easy to clean the jar, but {Y} struggled with wax residue.","Cleaning Ease, Maintenance"
jar-candles,Color Options,Color Options,Appreciated the variety of color options,"The range of colors available for the candle. For example, limited, moderate, or extensive color palette.","{X} appreciated the variety of color options, but {Y} found the selection limited.","Color Range, Shade Options"
jar-candles,Flame Stability,Flame Stability,"Praised for its stable, consistent flame","The reliability and steadiness of the candle's flame. For example, steady, flickering, or inconsistent.","{X} praised for its stable, consistent flame, but {Y} experienced a flickering flame.","Flame Reliability, Burn Stability"
jar-candles,Safety Features,Safety Features,Appreciated the added safety features,"The inclusion of features that ensure safe use of the candle. For example, self-trimming wicks or safety labels.","{X} appreciated the added safety features, although {Y} found them insufficient.","Safety Precautions, Protective Measures"
jar-candles,Packaging,Packaging,"Liked the attractive, protective packaging","The quality and design of the packaging used to protect the candle during shipping and storage. For example, attractive, functional, or flimsy.","{X} liked the attractive, protective packaging, but {Y} found it inadequate.","Packaging Quality, Shipping Protection"
jar-candles,Value for Money,Value for Money,Found it to be a great value for the price,"The perceived value of the candle compared to its price. For example, excellent, fair, or poor value.","{X} found it to be a great value for the price, but {Y} thought it was overpriced.","Price Worthiness, Cost-Effectiveness"
jewelry-making-kits,Beading Quality,Beading Quality,Praised the high-quality beads,"The durability and aesthetic appeal of the beads provided in the kit. For example, being resistive to fading or chipping.","{X} praised the high-quality beads, while {Y} found them prone to breakage.","Bead Durability, Bead Aesthetic"
